frame,track_id_a,track_id_b,cost_px,status
157,38,32,72.9,matched
157,47,2,43.3,matched
157,37,27,14.1,matched
157,30,,,unmatched_a_extra
157,48,,,unmatched_a_extra
158,5,20,21.1,matched
158,22,17,29.2,matched
158,38,2,71.3,matched
158,47,4,380.5,rejected_too_far
158,48,32,1484.4,rejected_too_far
158,37,27,13.1,matched
158,30,,,unmatched_a_extra
159,5,20,17.1,matched
159,22,17,24.4,matched
159,30,32,1599.7,rejected_too_far
159,38,2,60.0,matched
159,47,4,383.9,rejected_too_far
159,37,27,16.3,matched
160,5,20,18.2,matched
160,22,17,22.4,matched
160,38,32,59.3,matched
160,37,27,25.2,matched
160,50,2,35.1,matched
160,30,,,unmatched_a_extra
160,47,,,unmatched_a_extra
161,5,4,7.3,matched
161,22,17,22.9,matched
161,38,32,60.9,matched
161,37,27,29.3,matched
161,50,2,44.8,matched
161,30,,,unmatched_a_extra
161,47,,,unmatched_a_extra
162,5,20,18.7,matched
162,22,17,21.8,matched
162,47,32,80.7,matched
162,37,27,32.7,matched
162,50,2,48.3,matched
162,9,4,21.9,matched
162,30,,,unmatched_a_extra
163,22,20,116.8,matched
163,30,32,1491.4,rejected_too_far
163,37,27,41.8,matched
163,50,17,344.5,rejected_too_far
163,9,4,23.3,matched
163,38,2,22.2,matched
164,22,20,114.6,matched
164,30,32,1480.5,rejected_too_far
164,37,27,53.8,matched
164,50,17,340.2,rejected_too_far
164,9,4,20.4,matched
164,38,2,18.7,matched
165,22,17,27.2,matched
165,37,27,62.6,matched
165,9,4,18.3,matched
165,38,32,59.1,matched
165,5,20,23.6,matched
165,47,2,51.8,matched
165,30,,,unmatched_a_extra
165,50,,,unmatched_a_extra
166,22,17,22.9,matched
166,37,27,81.9,matched
166,50,2,55.3,matched
166,9,4,20.7,matched
166,38,32,55.7,matched
166,5,20,24.0,matched
166,30,,,unmatched_a_extra
166,47,,,unmatched_a_extra
167,22,17,21.5,matched
167,37,27,111.6,matched
167,9,4,22.3,matched
167,38,2,13.6,matched
167,5,20,22.3,matched
167,47,32,103.5,matched
167,30,,,unmatched_a_extra
167,48,,,unmatched_a_extra
168,22,17,11.8,matched
168,9,4,20.9,matched
168,38,2,28.2,matched
168,5,20,22.1,matched
168,47,32,94.2,matched
168,30,,,unmatched_a_extra
168,37,,,unmatched_a_extra
168,48,,,unmatched_a_extra
169,22,17,13.2,matched
169,9,4,19.3,matched
169,38,2,34.6,matched
169,5,20,21.9,matched
169,47,32,88.1,matched
169,50,34,35.4,matched
169,30,,,unmatched_a_extra
169,37,,,unmatched_a_extra
169,48,,,unmatched_a_extra
170,22,17,14.2,matched
170,9,4,19.4,matched
170,38,34,27.6,matched
170,5,20,21.1,matched
